feedback_id,student_id,course_id,instructor_id,semester,overall_rating,course_content_rating,instructor_effectiveness,difficulty_level,workload_rating,recommendation_score,attendance_rate,assignment_quality,feedback_date,created_at,satisfaction_score,difficulty_category,performance_category
1,STU001,COURSE03,INST03,Fall2024,4,4,4,2,5,1,1.0,4,2024-07-13,2025-07-13 19:08:26,3.25,Easy,Good
2,STU002,COURSE02,INST03,Summer2024,3,3,2,2,2,4,0.64,1,2024-07-13,2025-07-13 19:08:26,3.0,Easy,Good
3,STU003,COURSE09,INST04,Spring2024,1,1,4,1,2,4,0.71,5,2024-07-13,2025-07-13 19:08:26,2.5,Easy,Poor
4,STU004,COURSE05,INST05,Fall2024,4,2,5,5,1,1,0.61,4,2024-07-13,2025-07-13 19:08:26,3.0,Very Hard,Good
5,STU005,COURSE05,INST02,Spring2024,2,3,4,1,1,4,0.71,2,2024-07-13,2025-07-13 19:08:26,3.25,Easy,Good
6,STU006,COURSE06,INST01,Summer2024,5,2,1,1,3,5,0.65,5,2024-07-13,2025-07-13 19:08:26,3.25,Easy,Good
7,STU007,COURSE05,INST02,Fall2024,4,2,5,4,4,2,0.98,1,2024-07-13,2025-07-13 19:08:26,3.25,Hard,Good
8,STU008,COURSE05,INST01,Spring2024,5,3,4,2,3,3,0.86,5,2024-07-13,2025-07-13 19:08:26,3.75,Easy,Good
9,STU009,COURSE03,INST02,Summer2024,2,4,3,1,1,4,0.85,1,2024-07-13,2025-07-13 19:08:26,3.25,Easy,Good
10,STU010,COURSE04,INST04,Fall2024,2,2,2,1,1,1,0.67,3,2024-07-13,2025-07-13 19:08:26,1.75,Easy,Poor
11,STU011,COURSE05,INST01,Spring2024,4,1,5,5,2,5,0.88,3,2024-07-13,2025-07-13 19:08:26,3.75,Very Hard,Good
12,STU012,COURSE10,INST03,Summer2024,4,3,1,2,3,4,0.7,3,2024-07-13,2025-07-13 19:08:26,3.0,Easy,Good
13,STU013,COURSE08,INST05,Fall2024,1,1,3,4,4,5,0.85,5,2024-07-13,2025-07-13 19:08:26,2.5,Hard,Poor
14,STU014,COURSE04,INST02,Spring2024,3,1,4,5,1,5,0.8,2,2024-07-13,2025-07-13 19:08:26,3.25,Very Hard,Good
15,STU015,COURSE02,INST01,Spring2024,5,1,3,4,2,2,0.6,3,2024-07-13,2025-07-13 19:08:26,2.75,Hard,Poor
16,STU016,COURSE01,INST01,Spring2024,2,2,2,5,4,4,0.75,2,2024-07-13,2025-07-13 19:08:26,2.5,Very Hard,Poor
17,STU017,COURSE06,INST02,Fall2024,1,5,5,5,3,2,0.76,1,2024-07-13,2025-07-13 19:08:26,3.25,Very Hard,Good
18,STU018,COURSE03,INST04,Fall2024,4,1,1,1,4,4,0.62,3,2024-07-13,2025-07-13 19:08:26,2.5,Easy,Poor
19,STU019,COURSE07,INST02,Summer2024,2,3,1,2,4,1,0.77,1,2024-07-13,2025-07-13 19:08:26,1.75,Easy,Poor
20,STU020,COURSE02,INST03,Spring2024,2,5,1,2,1,2,0.68,2,2024-07-13,2025-07-13 19:08:26,2.5,Easy,Poor
21,STU021,COURSE02,INST05,Spring2024,1,5,5,5,3,2,0.91,5,2024-07-13,2025-07-13 19:08:26,3.25,Very Hard,Good
22,STU022,COURSE09,INST03,Spring2024,3,5,3,3,5,5,0.92,5,2024-07-13,2025-07-13 19:08:26,4.0,Moderate,Excellent
